s,mean_Rs,snapshot_1,snapshot_2,snapshot_3,snapshot_4,snapshot_5,snapshot_6,snapshot_7,snapshot_8,snapshot_9,snapshot_10,snapshot_11,snapshot_12,snapshot_13,snapshot_14,snapshot_15,snapshot_16,snapshot_17,snapshot_18,snapshot_19,snapshot_20,snapshot_21,snapshot_22,snapshot_23,snapshot_24,snapshot_25,snapshot_26,snapshot_27,snapshot_28,snapshot_29,snapshot_30,snapshot_31,snapshot_32,snapshot_33,snapshot_34,snapshot_35,snapshot_36,snapshot_37,snapshot_38,snapshot_39,snapshot_40,snapshot_41,snapshot_42,snapshot_43,snapshot_44,snapshot_45,snapshot_46,snapshot_47,snapshot_48,snapshot_49,CH,rel_CH
1,5.4311113,5.4149175,5.4609704,5.444406,5.417082,5.424217,5.4336615,5.417434,5.4722414,5.463372,5.432938,5.457462,5.40294,5.416193,5.4634147,5.4113493,5.451628,5.4222474,5.42057,5.4682393,5.401154,5.425179,5.4256053,5.4172473,5.4281077,5.423469,5.405671,5.442598,5.4570785,5.4276233,5.419657,5.404221,5.423298,5.4611964,5.4361324,5.4366364,5.4623985,5.4091797,5.4232807,5.432969,5.410207,5.41159,5.4230742,5.454126,5.4113703,5.423712,5.4311543,5.421075,5.474525,5.4056325,0.020313084,0.003740132
2,8.041287,8.030209,8.054587,8.040746,8.039896,8.010216,8.055003,8.016454,8.076439,8.071292,8.04617,8.065589,8.005019,8.037765,8.055182,8.0169935,8.066035,8.054315,8.049985,8.074789,8.000986,8.023569,8.055223,8.040712,8.045673,8.014751,8.011086,8.032114,8.048181,8.055848,8.009745,8.008042,8.053885,8.071874,8.0488825,8.048932,8.064685,8.017282,8.05417,8.057967,8.022665,8.018262,8.044459,8.054483,8.020668,8.037672,8.057255,8.052654,8.074038,8.010671,0.021091377,0.0026228833
3,9.790712,9.776174,9.803803,9.78805,9.788095,9.745865,9.81208,9.757079,9.835677,9.830137,9.798965,9.824115,9.743776,9.785894,9.8032,9.759206,9.825747,9.811835,9.803662,9.834233,9.739454,9.7662115,9.813408,9.789947,9.794357,9.75313,9.751437,9.773915,9.794384,9.814076,9.7466755,9.747453,9.807368,9.832147,9.802723,9.802796,9.820955,9.75889,9.812225,9.817055,9.765757,9.760186,9.792788,9.807308,9.763115,9.784192,9.816018,9.807674,9.830648,9.750993,0.028333766,0.0028939403
4,11.516364,11.5087185,11.514665,11.503924,11.52455,11.455724,11.543499,11.47846,11.552643,11.548304,11.527928,11.545936,11.469358,11.521642,11.511904,11.488477,11.548054,11.548018,11.541215,11.552028,11.464354,11.486378,11.547645,11.526351,11.528017,11.467435,11.479677,11.483545,11.503317,11.547755,11.460616,11.47399,11.54558,11.552425,11.5308895,11.530653,11.538907,11.487523,11.547003,11.547834,11.497471,11.487609,11.528311,11.52515,11.493947,11.516864,11.54804,11.545632,11.544742,11.479132,0.029931612,0.002599052
5,13.232653,13.218062,13.249018,13.232276,13.227427,13.170817,13.269958,13.189851,13.296487,13.290375,13.253574,13.285188,13.164901,13.228357,13.246343,13.176231,13.285757,13.262629,13.251888,13.295406,13.15656,13.203407,13.267118,13.233606,13.215977,13.182004,13.173034,13.208437,13.235039,13.269213,13.172751,13.170758,13.246506,13.29397,13.258693,13.2588005,13.278295,13.19101,13.264042,13.27402,13.198664,13.194412,13.221986,13.260141,13.185427,13.20461,13.272669,13.255379,13.287106,13.171839,0.04161484,0.0031448693
6,14.694299,14.680482,14.713236,14.696927,14.68642,14.620185,14.744159,14.646284,14.771553,14.76541,14.7259245,14.761453,14.61109,14.690252,14.7087145,14.618051,14.761062,14.729947,14.71748,14.770905,14.599086,14.663314,14.737191,14.696216,14.660533,14.635017,14.619219,14.6652155,14.695871,14.740634,14.623456,14.618752,14.703977,14.77029,14.732005,14.732154,14.751636,14.64625,14.732338,14.747021,14.653926,14.651589,14.672551,14.730744,14.631683,14.648548,14.745409,14.720123,14.758859,14.617354,0.051823433,0.0035267766
7,16.07455,16.061993,16.09384,16.078184,16.066385,15.99488,16.130411,16.024231,16.157356,16.151241,16.111633,16.148317,15.984742,16.07166,16.088366,15.989411,16.146969,16.112434,16.100101,16.156942,15.971084,16.04273,16.12092,16.077894,16.032185,16.011124,15.992907,16.042677,16.074919,16.125103,15.998623,15.993216,16.082403,16.156769,16.118093,16.11823,16.136913,16.024185,16.11507,16.132023,16.032085,16.03032,16.047821,16.114843,16.005316,16.020245,16.130428,16.102064,16.142952,15.990737,0.0563395,0.00350489
8,17.192184,17.185114,17.208529,17.196987,17.187862,17.112492,17.246428,17.146442,17.267738,17.259241,17.23142,17.263311,17.108381,17.193531,17.201468,17.112877,17.25545,17.224697,17.217678,17.265879,17.094532,17.164276,17.23279,17.19903,17.15183,17.130852,17.11694,17.159369,17.189405,17.237734,17.118216,17.117056,17.19891,17.26596,17.237213,17.23735,17.25227,17.148113,17.22615,17.243153,17.156063,17.153957,17.168232,17.2323,17.129023,17.141489,17.242516,17.217888,17.254244,17.114712,0.05226343,0.0030399554
9,18.35776,18.348242,18.376307,18.362808,18.349264,18.294327,18.402975,18.317303,18.43025,18.423872,18.390047,18.421457,18.284775,18.354605,18.372204,18.28791,18.417347,18.382715,18.375217,18.42926,18.27404,18.33288,18.390774,18.359207,18.318987,18.30648,18.29113,18.332947,18.360352,18.395115,18.2964,18.291565,18.357864,18.42747,18.395432,18.395632,18.41276,18.317146,18.385002,18.401411,18.323198,18.322386,18.332144,18.39406,18.300585,18.31072,18.40009,18.375278,18.418772,18.289366,0.046482317,0.002532026
10,19.476515,19.467316,19.495855,19.482672,19.466438,19.423311,19.516327,19.441,19.544935,19.539598,19.505726,19.535192,19.411068,19.471922,19.492994,19.412243,19.531898,19.495918,19.489355,19.54426,19.40169,19.455204,19.503942,19.475777,19.43742,19.432375,19.415958,19.456861,19.48185,19.508106,19.42371,19.41692,19.4721,19.541656,19.510685,19.510921,19.52793,19.439756,19.49847,19.51463,19.44451,19.444767,19.449722,19.510859,19.423485,19.430809,19.513115,19.488838,19.53484,19.414398,0.042370044,0.0021754422
11,20.360561,20.358572,20.369902,20.362953,20.359156,20.30966,20.393837,20.33145,20.410599,20.40471,20.387035,20.406763,20.309513,20.363157,20.365839,20.314184,20.39926,20.37506,20.374735,20.409237,20.301538,20.34266,20.380787,20.366077,20.336088,20.320032,20.315657,20.337545,20.357271,20.384731,20.312492,20.314922,20.361248,20.407734,20.39053,20.390633,20.399794,20.334665,20.375696,20.388319,20.340384,20.337996,20.346167,20.38669,20.32383,20.330948,20.388124,20.373087,20.401882,20.314388,0.032276884,0.0015852633
12,21.045036,21.04135,21.05725,21.04882,21.040422,21.010641,21.06766,21.02274,21.089705,21.084282,21.064045,21.082613,21.006615,21.043722,21.055674,21.010738,21.07621,21.049812,21.050592,21.088228,21.0016,21.031572,21.055101,21.045515,21.025139,21.01587,21.010857,21.031134,21.047832,21.058619,21.010637,21.01019,21.039604,21.084791,21.067,21.067192,21.078814,21.02413,21.050745,21.062529,21.028004,21.026758,21.031193,21.06768,21.016733,21.02207,21.061962,21.048534,21.08396,21.01007,0.025119472,0.0011936013
13,21.538763,21.532124,21.54925,21.53948,21.531776,21.52041,21.551823,21.52084,21.576021,21.57455,21.54856,21.565147,21.512884,21.53375,21.55077,21.51733,21.565594,21.539776,21.538507,21.576365,21.511772,21.526539,21.544111,21.534922,21.525595,21.518938,21.515272,21.530695,21.543598,21.546259,21.516798,21.514288,21.531424,21.572105,21.550936,21.551115,21.562872,21.521385,21.541485,21.550602,21.523935,21.52288,21.527252,21.553375,21.519064,21.523867,21.549294,21.537336,21.571764,21.515085,0.018560316,0.000861717
14,21.938883,21.932753,21.940868,21.932877,21.935656,21.926641,21.946018,21.922623,21.964195,21.966715,21.94208,21.953503,21.923393,21.93562,21.943676,21.93148,21.959547,21.94114,21.939247,21.96642,21.925232,21.92531,21.943565,21.936594,21.938673,21.921852,21.926031,21.928728,21.93764,21.944336,21.921953,21.923496,21.937336,21.96309,21.943626,21.94367,21.950733,21.925724,21.942665,21.947617,21.92897,21.925625,21.936491,21.943077,21.930122,21.93711,21.946304,21.939116,21.959919,21.92632,0.012199691,0.00055607647
15,22.250149,22.24345,22.245794,22.238579,22.249205,22.239763,22.255814,22.23257,22.26958,22.276054,22.24983,22.258703,22.238146,22.247894,22.24957,22.24876,22.270618,22.256615,22.252707,22.273851,22.241709,22.233704,22.257982,22.249126,22.257244,22.23245,22.24108,22.23688,22.243877,22.257666,22.233915,22.23754,22.253887,22.271612,22.251059,22.250965,22.25462,22.237415,22.258377,22.260609,22.241463,22.236391,22.253036,22.247437,22.245806,22.25508,22.259066,22.253746,22.2643,22.241642,0.0110827,0.0004980953
16,22.546701,22.53505,22.547098,22.535872,22.540192,22.542465,22.551294,22.527842,22.572645,22.581001,22.543694,22.556765,22.532934,22.539112,22.552961,22.54163,22.573702,22.553757,22.545828,22.57796,22.537514,22.529144,22.555838,22.540522,22.548729,22.531357,22.534319,22.537943,22.546114,22.555027,22.533669,22.53156,22.546738,22.574581,22.545406,22.545372,22.553411,22.530022,22.556822,22.559666,22.532967,22.529385,22.543941,22.544882,22.537663,22.54644,22.55712,22.547813,22.567495,22.535,0.013405975,0.0005945843
17,22.72925,22.714851,22.73156,22.718214,22.719967,22.73293,22.729471,22.711977,22.754816,22.76419,22.721804,22.735836,22.719803,22.718391,22.739145,22.728064,22.75568,22.734203,22.724693,22.7606,22.726034,22.712221,22.736103,22.71961,22.732437,22.71858,22.720026,22.72482,22.732172,22.734741,22.722137,22.717402,22.727161,22.756275,22.723465,22.723452,22.733711,22.7128,22.737799,22.739935,22.714823,22.711864,22.725698,22.725344,22.722166,22.730654,22.7369,22.727222,22.750734,22.720978,0.012857319,0.0005656671
18,22.779467,22.757914,22.790607,22.771309,22.760918,22.796167,22.775795,22.763046,22.813417,22.82431,22.767138,22.787056,22.770603,22.759857,22.801449,22.774727,22.81244,22.781956,22.767494,22.82,22.77863,22.763138,22.78493,22.761013,22.774136,22.775885,22.767828,22.784819,22.793161,22.782995,22.780964,22.766766,22.769333,22.813442,22.76938,22.76949,22.787102,22.75903,22.78734,22.790548,22.758625,22.758678,22.766447,22.777414,22.766888,22.773012,22.786175,22.770988,22.81069,22.768969,0.01723242,0.0007564856
19,22.74486,22.718142,22.760784,22.737309,22.720783,22.766535,22.74057,22.726633,22.785948,22.798233,22.729975,22.75454,22.733625,22.719906,22.773598,22.736097,22.784582,22.748413,22.72986,22.793388,22.742592,22.726982,22.752098,22.721333,22.734602,22.742933,22.729462,22.754217,22.764046,22.749706,22.748682,22.72911,22.7315,22.785692,22.73277,22.73295,22.755217,22.72004,22.755047,22.75887,22.718649,22.72007,22.726357,22.743893,22.7273,22.73323,22.753567,22.734362,22.783245,22.7307,0.02129616,0.0009363093
20,22.755878,22.729128,22.767462,22.744804,22.733793,22.778833,22.749413,22.737757,22.79158,22.80526,22.737997,22.760485,22.748936,22.731804,22.780594,22.753744,22.792797,22.760923,22.741858,22.79969,22.75926,22.736753,22.763605,22.73328,22.752626,22.754313,22.745117,22.763351,22.771553,22.760565,22.760939,22.74387,22.746237,22.792604,22.740454,22.740557,22.760723,22.732536,22.767345,22.769108,22.731651,22.73177,22.742287,22.749996,22.743416,22.751057,22.76386,22.747032,22.7887,22.746597,0.019372575,0.00085132086
21,22.603018,22.573593,22.618412,22.593273,22.577757,22.628569,22.59597,22.584364,22.643166,22.656431,22.584028,22.609417,22.594765,22.575937,22.63244,22.59856,22.64262,22.607397,22.586838,22.651114,22.605389,22.583658,22.610523,22.577496,22.596872,22.602758,22.590197,22.613405,22.6227,22.607435,22.609549,22.58939,22.590946,22.643099,22.586811,22.58698,22.610415,22.5775,22.614311,22.616753,22.575964,22.577023,22.586224,22.5988,22.587807,22.595242,22.611124,22.592339,22.640755,22.591707,0.021505117,0.00095143233
22,22.303328,22.26923,22.323536,22.294361,22.273275,22.334148,22.294191,22.283796,22.349125,22.363031,22.281004,22.31047,22.29441,22.271318,22.339474,22.297419,22.347162,22.307129,22.283539,22.357485,22.306017,22.283092,22.310684,22.27296,22.29487,22.305487,22.28874,22.318172,22.328672,22.307192,22.312918,22.288338,22.288269,22.348076,22.284195,22.28443,22.312635,22.274672,22.31494,22.317812,22.272236,22.274357,22.282848,22.29978,22.285406,22.293102,22.311407,22.28987,22.34735,22.290379,0.024736812,0.0011091026
23,21.964243,21.929514,21.987076,21.957184,21.932695,21.999876,21.951784,21.947542,22.008875,22.02126,21.939884,21.969526,21.958992,21.93065,22.003435,21.961155,22.00452,21.964369,21.941458,22.016312,21.971115,21.946337,21.967766,21.93195,21.956156,21.97069,21.952576,21.983133,21.992964,21.964314,21.978464,21.952473,21.946764,22.006117,21.942976,21.943256,21.973236,21.937227,21.972012,21.974821,21.9339,21.936872,21.943157,21.961012,21.94828,21.955027,21.968485,21.947601,22.008657,21.954325,0.024681067,0.001123696
24,21.645617,21.610584,21.667583,21.638165,21.614225,21.68227,21.63231,21.62973,21.687553,21.700161,21.62001,21.648905,21.642017,21.611832,21.683807,21.64449,21.68442,21.646515,21.622978,21.695053,21.65437,21.628119,21.649532,21.613153,21.639723,21.65327,21.63549,21.664948,21.673883,21.6458,21.661192,21.635319,21.629328,21.685358,21.623,21.623253,21.652647,21.619217,21.654076,21.656065,21.615719,21.618723,21.625809,21.64099,21.631117,21.638407,21.649755,21.629522,21.687555,21.6373,0.02405396,0.0011112646
25,21.166897,21.130991,21.191277,21.160772,21.134665,21.205435,21.15074,21.152473,21.208563,21.21936,21.139193,21.168894,21.165556,21.13184,21.207687,21.168486,21.202774,21.165285,21.142153,21.215027,21.178177,21.150564,21.167957,21.132963,21.163288,21.176777,21.15891,21.188759,21.197828,21.164162,21.184662,21.158636,21.149914,21.204533,21.14216,21.142448,21.174103,21.141333,21.172602,21.17425,21.137442,21.140707,21.147964,21.162664,21.154379,21.162073,21.168016,21.148811,21.209942,21.160807,0.024273843,0.0011467828
26,20.65524,20.616608,20.68753,20.653812,20.618305,20.704784,20.63104,20.646225,20.69762,20.705618,20.622244,20.654072,20.660574,20.615261,20.705563,20.661888,20.685806,20.644884,20.622473,20.702374,20.674263,20.643503,20.647512,20.615559,20.651796,20.674255,20.65234,20.68705,20.695763,20.643692,20.682823,20.652689,20.63171,20.68939,20.62513,20.625566,20.663206,20.632013,20.652292,20.654245,20.626123,20.631395,20.63395,20.652607,20.645815,20.651857,20.64775,20.628828,20.702541,20.65444,0.027160082,0.0013149255
27,20.253403,20.215122,20.28464,20.251627,20.217464,20.308746,20.22213,20.249004,20.287834,20.294765,20.215105,20.244345,20.268164,20.21319,20.30298,20.271088,20.275023,20.238907,20.217682,20.29175,20.283285,20.244394,20.24019,20.212889,20.258646,20.278025,20.259735,20.288084,20.294329,20.235804,20.287441,20.25945,20.230717,20.278316,20.217392,20.217823,20.255465,20.235083,20.245756,20.245382,20.228638,20.233587,20.237406,20.246767,20.252773,20.259361,20.239145,20.224247,20.294943,20.262157,0.027283676,0.0013471136
