s,mean_Rs,snapshot_1,snapshot_2,snapshot_3,snapshot_4,snapshot_5,snapshot_6,snapshot_7,snapshot_8,snapshot_9,snapshot_10,snapshot_11,snapshot_12,snapshot_13,snapshot_14,snapshot_15,snapshot_16,snapshot_17,snapshot_18,snapshot_19,snapshot_20,snapshot_21,snapshot_22,snapshot_23,snapshot_24,snapshot_25,snapshot_26,snapshot_27,snapshot_28,snapshot_29,snapshot_30,snapshot_31,snapshot_32,snapshot_33,snapshot_34,snapshot_35,snapshot_36,snapshot_37,snapshot_38,snapshot_39,snapshot_40,snapshot_41,snapshot_42,snapshot_43,snapshot_44,snapshot_45,snapshot_46,snapshot_47,snapshot_48,snapshot_49,snapshot_50,CH,rel_CH
1,5.4159784,5.415921,5.3903146,5.404935,5.4474196,5.459927,5.4085493,5.3900003,5.401004,5.4435987,5.390378,5.424076,5.423159,5.3975554,5.425646,5.410134,5.424034,5.4179406,5.4527597,5.4522834,5.398415,5.424321,5.3907475,5.4078894,5.408726,5.4568415,5.448635,5.421662,5.411379,5.420435,5.405796,5.4132853,5.4309025,5.4311924,5.399874,5.406123,5.400434,5.434223,5.4230967,5.42039,5.391207,5.3970428,5.416317,5.3969026,5.4142036,5.39664,5.403873,5.4339004,5.3886795,5.4274015,5.398753,0.019109668,0.003528381
2,8.008303,8.030444,7.972258,7.9932027,8.035493,8.055772,7.9959984,7.9743876,7.986819,8.033984,7.977636,8.021914,8.024888,7.993038,8.031348,7.989514,8.014959,7.9965463,8.037752,8.043564,7.9826903,8.007947,7.9804397,7.993941,7.987342,8.055515,8.047833,8.029587,8.001743,7.9993725,7.997077,8.001132,8.013616,8.031704,8.00335,8.019869,8.007884,8.014855,8.0217905,8.0304,7.972738,7.981656,8.0196905,7.9982457,8.028066,7.979918,7.984497,8.043109,7.971544,8.013994,7.9840126,0.023438504,0.0029267732
3,9.751501,9.781627,9.705167,9.741491,9.777139,9.805248,9.73201,9.709555,9.7328615,9.776496,9.717805,9.765783,9.780654,9.7332535,9.788139,9.720771,9.75473,9.727752,9.778102,9.788272,9.724982,9.743236,9.720679,9.740048,9.717938,9.806273,9.797088,9.7786,9.739677,9.730908,9.746491,9.748834,9.749141,9.787717,9.751704,9.769739,9.756048,9.749103,9.77693,9.78024,9.705084,9.722966,9.765425,9.743841,9.783322,9.722563,9.715391,9.801034,9.705821,9.751512,9.72586,0.028762773,0.0029495708
4,11.470098,11.506818,11.42211,11.467078,11.485025,11.516474,11.446446,11.428662,11.457632,11.486064,11.440644,11.481658,11.509274,11.45412,11.517557,11.430723,11.467449,11.43482,11.482953,11.49747,11.448072,11.45231,11.443515,11.464578,11.427569,11.519117,11.510618,11.499583,11.454688,11.437445,11.472739,11.474062,11.45639,11.516065,11.479138,11.496973,11.483298,11.453625,11.504938,11.502461,11.42127,11.445704,11.485229,11.469579,11.51451,11.44588,11.426753,11.531088,11.4243555,11.461548,11.448866,0.030614454,0.002669065
5,13.177073,13.224961,13.123323,13.151377,13.219046,13.255751,13.164371,13.120861,13.142576,13.219754,13.135784,13.207726,13.191044,13.1631155,13.199825,13.146963,13.193682,13.151824,13.214949,13.233727,13.131449,13.1775675,13.141441,13.144739,13.141355,13.258129,13.247099,13.222971,13.174309,13.15504,13.158004,13.152921,13.183565,13.194421,13.175847,13.206272,13.185274,13.177078,13.185652,13.224704,13.122495,13.129642,13.206234,13.170115,13.205742,13.131111,13.133734,13.211592,13.1237135,13.188807,13.1319685,0.037840277,0.0028716691
6,14.624143,14.687267,14.564952,14.582835,14.680871,14.723695,14.6184845,14.556722,14.574153,14.682705,14.575633,14.6696615,14.622738,14.614362,14.632728,14.596282,14.6533575,14.599726,14.672617,14.698105,14.561493,14.633633,14.583887,14.572787,14.588488,14.7272415,14.715041,14.686533,14.630334,14.603025,14.590809,14.580392,14.639773,14.623456,14.620561,14.662427,14.634795,14.628134,14.615945,14.688221,14.563731,14.5602,14.6670065,14.617191,14.647989,14.56233,14.576837,14.643962,14.564716,14.647198,14.562105,0.04772668,0.0032635508
7,15.998358,16.067137,15.938738,15.950071,16.061739,16.106657,15.996962,15.927338,15.941991,16.064083,15.948065,16.050455,15.987566,15.991107,15.997705,15.973055,16.033699,15.975307,16.051203,16.07985,15.928904,16.012838,15.957288,15.938371,15.964202,16.110682,16.09808,16.067333,16.009333,15.978442,15.958337,15.945154,16.018858,15.986486,15.993242,16.039637,16.00945,16.004333,15.980339,16.068853,15.93724,15.927904,16.046947,15.991368,16.01791,15.930547,15.950349,16.007896,15.938195,16.027193,15.929395,0.052031256,0.003252287
8,17.111319,17.174036,17.056646,17.06696,17.170261,17.213802,17.108553,17.04804,17.060043,17.172176,17.064583,17.15828,17.100004,17.102736,17.109097,17.087255,17.142778,17.08998,17.16138,17.187624,17.050041,17.123732,17.072544,17.058811,17.079473,17.217434,17.204742,17.174217,17.11983,17.09303,17.073854,17.065193,17.129595,17.100395,17.104313,17.147533,17.119165,17.11732,17.093798,17.17567,17.05546,17.049307,17.154673,17.102684,17.127083,17.050573,17.067959,17.11925,17.056133,17.136993,17.050907,0.04769537,0.0027873598
9,18.302563,18.350286,18.260397,18.264906,18.35698,18.391424,18.305655,18.247374,18.259954,18.358465,18.266556,18.34427,18.286495,18.298159,18.292494,18.287638,18.333656,18.286556,18.346483,18.370918,18.24879,18.319075,18.273184,18.255056,18.279587,18.393694,18.382998,18.353407,18.314417,18.288204,18.270056,18.259327,18.323656,18.285778,18.294155,18.328129,18.306082,18.307919,18.282167,18.353664,18.25861,18.247612,18.338938,18.29465,18.306679,18.251785,18.264935,18.298634,18.260237,18.329868,18.248194,0.04089254,0.002234253
10,19.434624,19.473585,19.401413,19.39964,19.486431,19.51481,19.442451,19.385489,19.396278,19.487707,19.405563,19.473705,19.412985,19.433619,19.417072,19.426727,19.466251,19.423445,19.475183,19.498043,19.384983,19.454592,19.411505,19.388748,19.418625,19.51629,19.50704,19.478546,19.44953,19.424232,19.403725,19.391287,19.458284,19.41086,19.425163,19.453957,19.435612,19.440845,19.409676,19.478071,19.39932,19.383839,19.467329,19.427366,19.430466,19.389416,19.402308,19.420357,19.401268,19.463722,19.383669,0.037266657,0.0019175416
